"#" ,"RefDes" ,"Name" ,"Value" ,"Pattern" ,"Quantity" ,"Manufacturer"
"1" ,"C1 C4 C5" ,"CAP" ,"1uF" ,"CAP_0805" ,"3" ,""
"2" ,"C2 C3 C6" ,"CAP_0603" ,"100nF" ,"CAP_0603" ,"3" ,""
"3" ,"C7" ,"875105544001" ,"10uF" ,"CAPAE-6.6x6.6h5.7" ,"1" ,"Wurth Elektronik"
"4" ,"C8" ,"875105359003" ,"22uF" ,"CAPAE-5.3x5.3h6.1" ,"1" ,"Wurth Elektronik"
"5" ,"D1 D2" ,"LED" ,"WiFi" ,"DIO_0805" ,"2" ,""
"6" ,"J1" ,"47346-0001" ,"" ,"MOLEX_47346-0001" ,"1" ,""
"7" ,"J3" ,"DB9M" ,"" ,"DB9M" ,"1" ,""
"8" ,"J4" ,"TERMINATOR" ,"" ,"Solder_JMP_3V" ,"1" ,""
"9" ,"J6" ,"OSTVN02A150" ,"" ,"OST_TB-1X2_2.54_6X7_SC_H" ,"1" ,"On Shore Technology"
"10" ,"J7" ,"90584-1306" ,"" ,"Test Pads 6 Pin" ,"1" ,"Molex"
"11" ,"L1" ,"74477010" ,"10uH" ,"WURTH_WE-PD_1260" ,"1" ,"Wurth Elektronik"
"12" ,"PH1" ,"VT935G-A" ,"" ,"PERKINELMER_VT900" ,"1" ,"PerkinElmer"
"13" ,"Q1" ,"" ,"BSN20" ,"SOT23" ,"1" ,""
"14" ,"R1 R2 R3 R6 R7 R8 R9 R10 R11 R12 R13 R14 R19" ,"RES_0603" ,"10K" ,"RES_0603" ,"13" ,""
"15" ,"R4 R5" ,"CRCW080510R0FKEAHP  " ,"10R" ,"RES_0805" ,"2" ,""
"16" ,"R15 R16 R17 R18" ,"RES" ,"75K" ,"RES_0603" ,"4" ,""
"17" ,"S1" ,"Reset" ,"" ,"EVQPT9A15" ,"1" ,""
"18" ,"S2" ,"Boot" ,"" ,"EVQPT9A15" ,"1" ,""
"19" ,"TP1" ,"3V3" ,"" ,"SMD/R1.5x1.5" ,"1" ,""
"20" ,"TP2" ,"GND" ,"" ,"SMD/R1.5x1.5" ,"1" ,""
"21" ,"U2" ,"ESP32-WROOM-32U" ,"" ,"ESP32-WROOM-32U" ,"1" ,""
"22" ,"U3" ,"MCP9803-M/SN" ,"" ,"SOIC127P600X175-8N" ,"1" ,""
"23" ,"U4" ,"ST1S40IDR" ,"" ,"SOIC-8/150mil" ,"1" ,"ST"
"24" ,"U5" ,"SN65HVD72D" ,"" ,"SOIC-8/150mil" ,"1" ,""
"25" ,"U6" ,"CDSOT23-SM712" ,"" ,"SOT23" ,"1" ,""
"26" ,"U7" ,"RS485 Port" ,"" ,"RS485 Port" ,"1" ,""
